Stat,Importance
Cluster,0.31510989179363436
VPIP,0.09821185491554146
PFR,0.07717112046652128
PFR/VPIP,0.07589651937541098
Fold to Steal,0.06618816694690707
Limp,0.05162784446555515
CC 2Bet PF,0.05157228540143447
Total AFq,0.04713557490964896
Att To Steal,0.037349904283361914
3Bet PF,0.03505256131864125
XR Flop,0.033396807992764226
WWSF,0.02402859515895611
2Bet PF & Fold,0.020804770807782508
Fold to F CBet,0.011604574004579987
4Bet PF,0.010581577024665082
CBet F,0.00995018996196141
Call R Eff,0.008515861737029761
Hands,0.007287905770311738
BB Won/100,0.006918504117545434
Avg PF All-In Equity,0.0060254602444224144
BB Won,0.005570029303324561
